tiempo,mr
0,0.9835
5,0.979651383
10,0.97495569
15,0.9698908
20,0.964580667
30,0.953455137
45,0.93594339
60,0.917824896
90,0.880659273
120,0.84307117
150,0.805637527
180,0.768710442
210,0.732521299
240,0.697227426
270,0.662936777
300,0.629722508
360,0.566694616
420,0.508320625
480,0.454588057
540,0.405368663
600,0.360463216
660,0.319630432
720,0.282606323
780,0.249117422
870,0.204914988
900,0.191655648
960,0.167156788
1020,0.145148081
1080,0.125398748
1110,0.116303403
1140,0.107693319
1200,0.091831939
1260,0.077630271
1320,0.064919104
1380,0.053543757
1440,0.043363346
1500,0.034249981
1560,0.026087899
1620,0.018772596
